Gene name;Type;Animal_db;Cis_bp;Tf_class_id;GTRD_uniprot_id;Function;Specie
unc-11;Cofactor;WBGene00006751;unmatched;unmatched;unmatched;;Caenorhabditis elegans
unc-27;Cofactor;WBGene00006764;unmatched;unmatched;unmatched;;Caenorhabditis elegans
unc-37;Cofactor;WBGene00006773;unmatched;unmatched;unmatched;;Caenorhabditis elegans
unc-40;Cofactor;WBGene00006776;unmatched;unmatched;unmatched;;Caenorhabditis elegans
unc-43;Cofactor;WBGene00006779;unmatched;unmatched;unmatched;;Caenorhabditis elegans
xrn-2;Cofactor;WBGene00006964;unmatched;unmatched;Q9U299;;Caenorhabditis elegans
rfp-1;Cofactor;WBGene00007008;unmatched;unmatched;unmatched;;Caenorhabditis elegans
wwp-1;Cofactor;WBGene00007009;unmatched;unmatched;unmatched;;Caenorhabditis elegans
mdt-4;Cofactor;WBGene00007012;unmatched;unmatched;unmatched;;Caenorhabditis elegans
mdt-8;Cofactor;WBGene00007013;unmatched;unmatched;unmatched;;Caenorhabditis elegans
mdt-17;Cofactor;WBGene00007017;unmatched;unmatched;unmatched;;Caenorhabditis elegans
mdt-18;Cofactor;WBGene00007018;unmatched;unmatched;unmatched;;Caenorhabditis elegans
mdt-19;Cofactor;WBGene00007019;unmatched;unmatched;unmatched;;Caenorhabditis elegans
mdt-20;Cofactor;WBGene00007020;unmatched;unmatched;unmatched;;Caenorhabditis elegans
mdt-22;Cofactor;WBGene00007022;unmatched;unmatched;unmatched;;Caenorhabditis elegans
trr-1;Cofactor;WBGene00007028;unmatched;unmatched;unmatched;;Caenorhabditis elegans
mys-1;Cofactor;WBGene00007029;unmatched;unmatched;unmatched;;Caenorhabditis elegans
ctr-9;Cofactor;WBGene00007184;unmatched;unmatched;unmatched;;Caenorhabditis elegans
swsn-9;Cofactor;WBGene00007256;unmatched;unmatched;unmatched;;Caenorhabditis elegans
asfl-1;Cofactor;WBGene00007277;unmatched;unmatched;unmatched;;Caenorhabditis elegans
jmjd-5;Cofactor;WBGene00007387;unmatched;unmatched;unmatched;;Caenorhabditis elegans
folt-1;Cofactor;WBGene00007388;unmatched;unmatched;unmatched;;Caenorhabditis elegans
bud-31;Cofactor;WBGene00007400;unmatched;unmatched;unmatched;;Caenorhabditis elegans
pro-2;Cofactor;WBGene00007413;unmatched;unmatched;unmatched;;Caenorhabditis elegans
arp-6;Cofactor;WBGene00007434;unmatched;unmatched;unmatched;;Caenorhabditis elegans
C16C10;Cofactor;WBGene00007625;unmatched;unmatched;unmatched;;Caenorhabditis elegans
har-1;Cofactor;WBGene00007630;unmatched;unmatched;unmatched;;Caenorhabditis elegans
mdt-21;Cofactor;WBGene00007704;unmatched;unmatched;unmatched;;Caenorhabditis elegans
ruvb-1;Cofactor;WBGene00007784;unmatched;unmatched;unmatched;;Caenorhabditis elegans
nfki-1;Cofactor;WBGene00007877;unmatched;unmatched;G5EDE9;;Caenorhabditis elegans
hda-11;Cofactor;WBGene00007953;unmatched;unmatched;unmatched;;Caenorhabditis elegans
C36E8.1;Cofactor;WBGene00007980;unmatched;unmatched;unmatched;;Caenorhabditis elegans
pafo-1;Cofactor;WBGene00008338;unmatched;unmatched;unmatched;;Caenorhabditis elegans
D2013.6;Cofactor;WBGene00008404;unmatched;unmatched;unmatched;;Caenorhabditis elegans
pch-2;Cofactor;WBGene00008641;unmatched;unmatched;unmatched;;Caenorhabditis elegans
lex-1;Cofactor;WBGene00008682;unmatched;unmatched;unmatched;;Caenorhabditis elegans
hint-1;Cofactor;WBGene00009002;unmatched;unmatched;unmatched;;Caenorhabditis elegans
rtfo-1;Cofactor;WBGene00009103;unmatched;unmatched;unmatched;;Caenorhabditis elegans
F26A3.4;Cofactor;WBGene00009142;unmatched;unmatched;unmatched;;Caenorhabditis elegans
F32D8.4;Cofactor;WBGene00009329;unmatched;unmatched;unmatched;;Caenorhabditis elegans
F33H2;Cofactor;WBGene00009367;unmatched;unmatched;unmatched;;Caenorhabditis elegans
cfp-1;Cofactor;WBGene00009924;unmatched;unmatched;D3YT77;;Caenorhabditis elegans
F54B11.5;Cofactor;WBGene00010028;unmatched;unmatched;unmatched;;Caenorhabditis elegans
F54E12.2;Cofactor;WBGene00010061;unmatched;unmatched;unmatched;;Caenorhabditis elegans
ddx-17;Cofactor;WBGene00010260;unmatched;unmatched;unmatched;;Caenorhabditis elegans
cri-3;Cofactor;WBGene00010303;unmatched;unmatched;unmatched;;Caenorhabditis elegans
chd-1;Cofactor;WBGene00010369;unmatched;unmatched;unmatched;;Caenorhabditis elegans
rga-5;Cofactor;WBGene00010374;unmatched;unmatched;unmatched;;Caenorhabditis elegans
mcrs-1;Cofactor;WBGene00010420;unmatched;unmatched;unmatched;;Caenorhabditis elegans
lpin-1;Cofactor;WBGene00010425;unmatched;unmatched;unmatched;;Caenorhabditis elegans
mys-2;Cofactor;WBGene00010537;unmatched;unmatched;unmatched;;Caenorhabditis elegans
K05C4.5;Cofactor;WBGene00010582;unmatched;unmatched;unmatched;;Caenorhabditis elegans
cash-1;Cofactor;WBGene00010631;unmatched;unmatched;unmatched;;Caenorhabditis elegans
M03C11;Cofactor;WBGene00010845;unmatched;unmatched;unmatched;;Caenorhabditis elegans
snfc-5;Cofactor;WBGene00011111;unmatched;unmatched;unmatched;;Caenorhabditis elegans
R11H6.5;Cofactor;WBGene00011253;unmatched;unmatched;unmatched;;Caenorhabditis elegans
T16H12;Cofactor;WBGene00011814;unmatched;unmatched;unmatched;;Caenorhabditis elegans
enol-1;Cofactor;WBGene00011884;unmatched;unmatched;unmatched;;Caenorhabditis elegans
chhy-1;Cofactor;WBGene00011923;unmatched;unmatched;unmatched;;Caenorhabditis elegans
cdka-1;Cofactor;WBGene00011955;unmatched;unmatched;unmatched;;Caenorhabditis elegans
T24H10;Cofactor;WBGene00012000;unmatched;unmatched;unmatched;;Caenorhabditis elegans
prmt-7;Cofactor;WBGene00012298;unmatched;unmatched;unmatched;;Caenorhabditis elegans
ash-2;Cofactor;WBGene00012458;unmatched;unmatched;unmatched;;Caenorhabditis elegans
arrd-7;Cofactor;WBGene00012464;unmatched;unmatched;unmatched;;Caenorhabditis elegans
mlt-3;Cofactor;WBGene00012704;unmatched;unmatched;unmatched;;Caenorhabditis elegans
jmjd-2;Cofactor;WBGene00012982;unmatched;unmatched;Q9U297;;Caenorhabditis elegans
Y54E2A.4;Cofactor;WBGene00013189;unmatched;unmatched;unmatched;;Caenorhabditis elegans
Y56A3A;Cofactor;WBGene00013236;unmatched;unmatched;unmatched;;Caenorhabditis elegans
prp-6;Cofactor;WBGene00013343;unmatched;unmatched;unmatched;;Caenorhabditis elegans
snx-6;Cofactor;WBGene00013354;unmatched;unmatched;unmatched;;Caenorhabditis elegans
tdpt-1;Cofactor;WBGene00013405;unmatched;unmatched;unmatched;;Caenorhabditis elegans
xpb-1;Cofactor;WBGene00013441;unmatched;unmatched;unmatched;;Caenorhabditis elegans
Y73F8A;Cofactor;WBGene00013529;unmatched;unmatched;unmatched;;Caenorhabditis elegans
ekl-4;Cofactor;WBGene00013676;unmatched;unmatched;unmatched;;Caenorhabditis elegans
Y111B2A;Cofactor;WBGene00013736;unmatched;unmatched;unmatched;;Caenorhabditis elegans
elpc-2;Cofactor;WBGene00013738;unmatched;unmatched;unmatched;;Caenorhabditis elegans
cdkr-3;Cofactor;WBGene00013765;unmatched;unmatched;unmatched;;Caenorhabditis elegans
prmt-1;Cofactor;WBGene00013766;unmatched;unmatched;unmatched;;Caenorhabditis elegans
ZK550;Cofactor;WBGene00013998;unmatched;unmatched;unmatched;;Caenorhabditis elegans
elpc-3;Cofactor;WBGene00014123;unmatched;unmatched;unmatched;;Caenorhabditis elegans
ZK1128.4;Cofactor;WBGene00014230;unmatched;unmatched;unmatched;;Caenorhabditis elegans
dcaf-1;Cofactor;WBGene00014243;unmatched;unmatched;unmatched;;Caenorhabditis elegans
trx-1;Cofactor;WBGene00015062;unmatched;unmatched;unmatched;;Caenorhabditis elegans
djr-1;Cofactor;WBGene00015184;unmatched;unmatched;unmatched;;Caenorhabditis elegans
tes-1;Cofactor;WBGene00015217;unmatched;unmatched;unmatched;;Caenorhabditis elegans
C01F1.1;Cofactor;WBGene00015296;unmatched;unmatched;unmatched;;Caenorhabditis elegans
cids-1;Cofactor;WBGene00015347;unmatched;unmatched;unmatched;;Caenorhabditis elegans
tsg-101;Cofactor;WBGene00015658;unmatched;unmatched;unmatched;;Caenorhabditis elegans
swsn-2;Cofactor;WBGene00015971;unmatched;unmatched;unmatched;;Caenorhabditis elegans
C23H3.3;Cofactor;WBGene00016019;unmatched;unmatched;unmatched;;Caenorhabditis elegans
ntl-9;Cofactor;WBGene00016139;unmatched;unmatched;unmatched;;Caenorhabditis elegans
pxl-1;Cofactor;WBGene00016197;unmatched;unmatched;unmatched;;Caenorhabditis elegans
dpff-1;Cofactor;WBGene00016200;unmatched;unmatched;Q09477;;Caenorhabditis elegans
C32E8.5;Cofactor;WBGene00016323;unmatched;unmatched;unmatched;;Caenorhabditis elegans
C34B2.8;Cofactor;WBGene00016393;unmatched;unmatched;unmatched;;Caenorhabditis elegans
prmt-5;Cofactor;WBGene00016408;unmatched;unmatched;unmatched;;Caenorhabditis elegans
C43H6.3;Cofactor;WBGene00016616;unmatched;unmatched;unmatched;;Caenorhabditis elegans
let-611;Cofactor;WBGene00016750;unmatched;unmatched;unmatched;;Caenorhabditis elegans
aipr-1;Cofactor;WBGene00016966;unmatched;unmatched;unmatched;;Caenorhabditis elegans
utx-1;Cofactor;WBGene00017046;unmatched;unmatched;unmatched;;Caenorhabditis elegans
lec-12;Cofactor;WBGene00017080;unmatched;unmatched;unmatched;;Caenorhabditis elegans
DC2.5;Cofactor;WBGene00017082;unmatched;unmatched;unmatched;;Caenorhabditis elegans
pink-1;Cofactor;WBGene00017137;unmatched;unmatched;unmatched;;Caenorhabditis elegans
cst-1;Cofactor;WBGene00017472;unmatched;unmatched;unmatched;;Caenorhabditis elegans
rbbp-5;Cofactor;WBGene00017683;unmatched;unmatched;unmatched;;Caenorhabditis elegans
malt-1;Cofactor;WBGene00017702;unmatched;unmatched;unmatched;;Caenorhabditis elegans
did-2;Cofactor;WBGene00017735;unmatched;unmatched;unmatched;;Caenorhabditis elegans
peli-1;Cofactor;WBGene00017766;unmatched;unmatched;unmatched;;Caenorhabditis elegans
nono-1;Cofactor;WBGene00017778;unmatched;unmatched;unmatched;;Caenorhabditis elegans
F33D11.1;Cofactor;WBGene00018000;unmatched;unmatched;unmatched;;Caenorhabditis elegans
phf-10;Cofactor;WBGene00018013;unmatched;unmatched;unmatched;;Caenorhabditis elegans
cdc-73;Cofactor;WBGene00018064;unmatched;unmatched;unmatched;;Caenorhabditis elegans
F35H10.6;Cofactor;WBGene00018071;unmatched;unmatched;unmatched;;Caenorhabditis elegans
hda-6;Cofactor;WBGene00018319;unmatched;unmatched;unmatched;;Caenorhabditis elegans
cnep-1;Cofactor;WBGene00018474;unmatched;unmatched;unmatched;;Caenorhabditis elegans
lmd-3;Cofactor;WBGene00018700;unmatched;unmatched;unmatched;;Caenorhabditis elegans
mnat-1;Cofactor;WBGene00018769;unmatched;unmatched;unmatched;;Caenorhabditis elegans
spt-16;Cofactor;WBGene00018849;unmatched;unmatched;unmatched;;Caenorhabditis elegans
F56D2.5;Cofactor;WBGene00018966;unmatched;unmatched;unmatched;;Caenorhabditis elegans
F57B10.8;Cofactor;WBGene00019005;unmatched;unmatched;unmatched;;Caenorhabditis elegans
chpf-2;Cofactor;WBGene00019108;unmatched;unmatched;unmatched;;Caenorhabditis elegans
athp-2;Cofactor;WBGene00019217;unmatched;unmatched;unmatched;;Caenorhabditis elegans
K10D2;Cofactor;WBGene00019627;unmatched;unmatched;unmatched;;Caenorhabditis elegans
R02D3.3;Cofactor;WBGene00019821;unmatched;unmatched;unmatched;;Caenorhabditis elegans
htz-1;Cofactor;WBGene00019947;unmatched;unmatched;Q27511;;Caenorhabditis elegans
pfd-5;Cofactor;WBGene00020112;unmatched;unmatched;unmatched;;Caenorhabditis elegans
tfbm-1;Cofactor;WBGene00020189;unmatched;unmatched;unmatched;;Caenorhabditis elegans
lsy-13;Cofactor;WBGene00020287;unmatched;unmatched;unmatched;;Caenorhabditis elegans
pcbd-1;Cofactor;WBGene00020397;unmatched;unmatched;unmatched;;Caenorhabditis elegans
T10F2.2;Cofactor;WBGene00020422;unmatched;unmatched;unmatched;;Caenorhabditis elegans
ssup-72;Cofactor;WBGene00020480;unmatched;unmatched;unmatched;;Caenorhabditis elegans
pqbp-1;Cofactor;WBGene00020647;unmatched;unmatched;unmatched;;Caenorhabditis elegans
ruvb-2;Cofactor;WBGene00020687;unmatched;unmatched;unmatched;;Caenorhabditis elegans
sulp-6;Cofactor;WBGene00020914;unmatched;unmatched;unmatched;;Caenorhabditis elegans
sedl-1;Cofactor;WBGene00021046;unmatched;unmatched;unmatched;;Caenorhabditis elegans
W07E6.2;Cofactor;WBGene00021074;unmatched;unmatched;unmatched;;Caenorhabditis elegans
W08E12.7;Cofactor;WBGene00021088;unmatched;unmatched;unmatched;;Caenorhabditis elegans
W09C3;Cofactor;WBGene00021112;unmatched;unmatched;unmatched;;Caenorhabditis elegans
Y17G9B.8;Cofactor;WBGene00021205;unmatched;unmatched;unmatched;;Caenorhabditis elegans
thoc-5;Cofactor;WBGene00021311;unmatched;unmatched;unmatched;;Caenorhabditis elegans
siah-1;Cofactor;WBGene00021369;unmatched;unmatched;unmatched;;Caenorhabditis elegans
Y46B2A.3;Cofactor;WBGene00021578;unmatched;unmatched;unmatched;;Caenorhabditis elegans
pcaf-1;Cofactor;WBGene00021636;unmatched;unmatched;unmatched;;Caenorhabditis elegans
mbtr-1;Cofactor;WBGene00021661;unmatched;unmatched;unmatched;;Caenorhabditis elegans
cyh-1;Cofactor;WBGene00021714;unmatched;unmatched;unmatched;;Caenorhabditis elegans
xpd-1;Cofactor;WBGene00021752;unmatched;unmatched;unmatched;;Caenorhabditis elegans
hpo-29;Cofactor;WBGene00021754;unmatched;unmatched;unmatched;;Caenorhabditis elegans
phf-15;Cofactor;WBGene00021810;unmatched;unmatched;unmatched;;Caenorhabditis elegans
Y55B1AL.2;Cofactor;WBGene00021904;unmatched;unmatched;unmatched;;Caenorhabditis elegans
Y55F3AM.3;Cofactor;WBGene00021921;unmatched;unmatched;unmatched;;Caenorhabditis elegans
Y55F3BR.1;Cofactor;WBGene00021938;unmatched;unmatched;unmatched;;Caenorhabditis elegans
icd-2;Cofactor;WBGene00022042;unmatched;unmatched;unmatched;;Caenorhabditis elegans
ddx-35;Cofactor;WBGene00022056;unmatched;unmatched;unmatched;;Caenorhabditis elegans
chaf-2;Cofactor;WBGene00022141;unmatched;unmatched;unmatched;;Caenorhabditis elegans
set-27;Cofactor;WBGene00022173;unmatched;unmatched;unmatched;;Caenorhabditis elegans
Y71H2AM.9;Cofactor;WBGene00022174;unmatched;unmatched;unmatched;;Caenorhabditis elegans
Y73E7A.2;Cofactor;WBGene00022269;unmatched;unmatched;unmatched;;Caenorhabditis elegans
Y92H12A;Cofactor;WBGene00022358;unmatched;unmatched;unmatched;;Caenorhabditis elegans
Y94H6A.5;Cofactor;WBGene00022378;unmatched;unmatched;unmatched;;Caenorhabditis elegans
pinn-1;Cofactor;WBGene00022448;unmatched;unmatched;unmatched;;Caenorhabditis elegans
elpc-1;Cofactor;WBGene00022463;unmatched;unmatched;unmatched;;Caenorhabditis elegans
bet-1;Cofactor;WBGene00022473;unmatched;unmatched;unmatched;;Caenorhabditis elegans
toe-1;Cofactor;WBGene00022739;unmatched;unmatched;unmatched;;Caenorhabditis elegans
swsn-6;Cofactor;WBGene00022774;unmatched;unmatched;unmatched;;Caenorhabditis elegans
cth-2;Cofactor;WBGene00022856;unmatched;unmatched;unmatched;;Caenorhabditis elegans
hat-1;Cofactor;WBGene00044069;unmatched;unmatched;unmatched;;Caenorhabditis elegans
set-18;Cofactor;WBGene00044070;unmatched;unmatched;unmatched;;Caenorhabditis elegans
ham-3;Cofactor;WBGene00044072;unmatched;unmatched;unmatched;;Caenorhabditis elegans
adpr-1;Cofactor;WBGene00044440;unmatched;unmatched;unmatched;;Caenorhabditis elegans
C33F10.14;Cofactor;WBGene00050941;unmatched;unmatched;unmatched;;Caenorhabditis elegans
athp-3;TF;unmatched;T017880_2.00;unmatched;unmatched;;Caenorhabditis elegans
hmg-12;TF;unmatched;T017879_2.00;unmatched;unmatched;;Caenorhabditis elegans
HLH27;TF;unmatched;T040413_2.00;unmatched;unmatched;;Caenorhabditis elegans
Y44A6D.3;TF;unmatched;T055742_2.00;unmatched;unmatched;;Caenorhabditis elegans
Y48G1C.6;TF;unmatched;T055744_2.00;unmatched;unmatched;;Caenorhabditis elegans
cebp-1;TF;unmatched;T069414_2.00;unmatched;Q18909;;Caenorhabditis elegans
hpo-39;TF;unmatched;T069418_2.00;unmatched;unmatched;;Caenorhabditis elegans
zip-10;TF;unmatched;T069407_2.00;unmatched;unmatched;;Caenorhabditis elegans
zip-6;TF;unmatched;T069405_2.00;unmatched;unmatched;;Caenorhabditis elegans
zip-8;TF;unmatched;T069416_2.00;unmatched;P46505;;Caenorhabditis elegans
B0310.2;TF;WBGene00015138;T131614_2.00;unmatched;Q10938;;Caenorhabditis elegans
F10B5.3;TF;unmatched;T131579_2.00;unmatched;Q09534;;Caenorhabditis elegans
F52B5.7;TF;unmatched;T131586_2.00;unmatched;Q7YWZ7;;Caenorhabditis elegans
T22C8.4;TF;unmatched;T131599_2.00;unmatched;unmatched;;Caenorhabditis elegans
ztf-29;TF;unmatched;T131610_2.00;unmatched;unmatched;;Caenorhabditis elegans
ztf-9;TF;unmatched;T131612_2.00;unmatched;unmatched;;Caenorhabditis elegans
mex-6;TF;unmatched;T160934_2.00;unmatched;unmatched;;Caenorhabditis elegans
pie-1;TF;unmatched;T160935_2.00;unmatched;unmatched;;Caenorhabditis elegans
Y75B8A.6;TF;unmatched;T168541_2.00;unmatched;unmatched;;Caenorhabditis elegans
nsy-7;TF;unmatched;T224681_2.00;unmatched;unmatched;;Caenorhabditis elegans
madf-4;TF;unmatched;T250013_2.00;unmatched;unmatched;;Caenorhabditis elegans
madf-5;TF;unmatched;T250010_2.00;unmatched;unmatched;;Caenorhabditis elegans
madf-9;TF;unmatched;T250021_2.00;unmatched;unmatched;;Caenorhabditis elegans
athp-1;TF;unmatched;T350341_2.00;unmatched;Q18605;;Caenorhabditis elegans
dpy-27;TF;unmatched;T350339_2.00;unmatched;P48996;;Caenorhabditis elegans
lin-14;TF;unmatched;T350340_2.00;unmatched;Q21446;;Caenorhabditis elegans
tag-97;TF;WBGene00006462;T177599_2.00;unmatched;unmatched;;Caenorhabditis elegans
WBGene00013134;TF;unmatched;T242474_2.00;unmatched;unmatched;;Caenorhabditis elegans
WBGene00003673;TF;unmatched;T306196_2.00;unmatched;unmatched;;Caenorhabditis elegans
lin-54;TF;unmatched;T345887_2.00;unmatched;Q95QD7;;Caenorhabditis elegans
hlh-34;TF;unmatched;T046304_2.00;unmatched;unmatched;;Caenorhabditis elegans
F21D5.4;TF;unmatched;T055741_2.00;unmatched;unmatched;;Caenorhabditis elegans
W02H5.4;TF;unmatched;T055743_2.00;unmatched;unmatched;;Caenorhabditis elegans
C18C4.5;TF;unmatched;T069411_2.00;unmatched;unmatched;;Caenorhabditis elegans
F13A7.14;TF;unmatched;T069420_2.00;unmatched;unmatched;;Caenorhabditis elegans
lfi-1;TF;unmatched;T069419_2.00;unmatched;unmatched;;Caenorhabditis elegans
lmn-1;TF;unmatched;T069401_2.00;unmatched;unmatched;;Caenorhabditis elegans
zip-5;TF;unmatched;T069404_2.00;unmatched;G5EG34;;Caenorhabditis elegans
zip-9;TF;unmatched;T069422_2.00;unmatched;unmatched;;Caenorhabditis elegans
C09F5.3;TF;WBGene00015649;T131617_2.00;unmatched;unmatched;;Caenorhabditis elegans
D2092.10;TF;unmatched;T131649_2.00;unmatched;unmatched;;Caenorhabditis elegans
F21D5.9;TF;unmatched;T131581_2.00;unmatched;unmatched;;Caenorhabditis elegans
F56D1.1;TF;WBGene00018959;T131629_2.00;unmatched;unmatched;;Caenorhabditis elegans
lin-13;TF;unmatched;T131558_2.00;unmatched;Q11107;;Caenorhabditis elegans
pzf-1;TF;unmatched;T131596_2.00;unmatched;unmatched;;Caenorhabditis elegans
ZK686.5;TF;WBGene00022795;T131645_2.00;unmatched;unmatched;;Caenorhabditis elegans
ztf-20;TF;unmatched;T131605_2.00;unmatched;unmatched;;Caenorhabditis elegans
pqn-27;TF;unmatched;T166287_2.00;unmatched;unmatched;;Caenorhabditis elegans
C47E12.13;TF;unmatched;T177600_2.00;unmatched;unmatched;;Caenorhabditis elegans
ets-10;TF;unmatched;T177605_2.00;unmatched;unmatched;;Caenorhabditis elegans
F09E5.10;TF;unmatched;T183383_2.00;unmatched;unmatched;;Caenorhabditis elegans
flh-1;TF;unmatched;T183380_2.00;unmatched;A7DTF1;;Caenorhabditis elegans
flh-2;TF;unmatched;T183382_2.00;unmatched;unmatched;;Caenorhabditis elegans
flh-3;TF;unmatched;T183381_2.00;unmatched;unmatched;;Caenorhabditis elegans
peb-1;TF;unmatched;T183378_2.00;unmatched;H2KZM4;;Caenorhabditis elegans
T05H10.4;TF;unmatched;T183379_2.00;unmatched;unmatched;;Caenorhabditis elegans
T27A8.2;TF;unmatched;T188815_2.00;unmatched;unmatched;;Caenorhabditis elegans
Y18D10A.21;TF;unmatched;T198673_2.00;unmatched;unmatched;;Caenorhabditis elegans
ceh-85;TF;unmatched;T224672_2.00;unmatched;unmatched;;Caenorhabditis elegans
C06A6.2;TF;unmatched;T250017_2.00;unmatched;unmatched;;Caenorhabditis elegans
madf-1;TF;unmatched;T250020_2.00;unmatched;unmatched;;Caenorhabditis elegans
madf-10;TF;unmatched;T250015_2.00;unmatched;Q9XWS3;;Caenorhabditis elegans
madf-11;TF;unmatched;T250016_2.00;unmatched;unmatched;;Caenorhabditis elegans
madf-2;TF;unmatched;T250012_2.00;unmatched;Q9XV35;;Caenorhabditis elegans
madf-3;TF;unmatched;T250019_2.00;unmatched;unmatched;;Caenorhabditis elegans
madf-6;TF;unmatched;T250018_2.00;unmatched;unmatched;;Caenorhabditis elegans
madf-8;TF;unmatched;T250011_2.00;unmatched;unmatched;;Caenorhabditis elegans
T16G12.9;TF;unmatched;T250014_2.00;unmatched;unmatched;;Caenorhabditis elegans
C50F4.12;TF;unmatched;T264113_2.00;unmatched;unmatched;;Caenorhabditis elegans
K11D2.5;TF;unmatched;T264114_2.00;unmatched;unmatched;;Caenorhabditis elegans
gei-8;TF;unmatched;T282142_2.00;unmatched;P34333;;Caenorhabditis elegans
isw-1;TF;unmatched;T282144_2.00;unmatched;unmatched;;Caenorhabditis elegans
nhr-210;TF;unmatched;T306362_2.00;unmatched;unmatched;;Caenorhabditis elegans
nhr-215;TF;unmatched;T306291_2.00;unmatched;unmatched;;Caenorhabditis elegans
nhr-266;TF;unmatched;T306355_2.00;unmatched;unmatched;;Caenorhabditis elegans
nhr-33;TF;WBGene00013976;T306307_2.00;unmatched;unmatched;;Caenorhabditis elegans
nhr-75;TF;unmatched;T306189_2.00;unmatched;unmatched;;Caenorhabditis elegans
set-23;TF;unmatched;T306378_2.00;unmatched;unmatched;;Caenorhabditis elegans
WBGene00020591;TF;unmatched;T306369_2.00;unmatched;unmatched;;Caenorhabditis elegans
WBGene00022636;TF;unmatched;T306386_2.00;unmatched;unmatched;;Caenorhabditis elegans
rps-13;TF;unmatched;T312109_2.00;unmatched;unmatched;;Caenorhabditis elegans
C03C10.4;TF;unmatched;T316618_2.00;unmatched;unmatched;;Caenorhabditis elegans
hmg-1.1;TF;WBGene00001971;T333267_2.00;unmatched;unmatched;;Caenorhabditis elegans
hmg-1.2;TF;WBGene00001972;T333268_2.00;unmatched;unmatched;;Caenorhabditis elegans
Y73E7A.1;TF;unmatched;T333281_2.00;unmatched;unmatched;;Caenorhabditis elegans
C27D8.3;TF;unmatched;T337789_2.00;unmatched;unmatched;;Caenorhabditis elegans
T12G3.2;TF;unmatched;T337791_2.00;unmatched;unmatched;;Caenorhabditis elegans
tlf-1;TF;unmatched;T343002_2.00;unmatched;B2D6P4;;Caenorhabditis elegans
cdc-14;TF;unmatched;T349252_2.00;unmatched;unmatched;;Caenorhabditis elegans
lin-36;TF;unmatched;T349254_2.00;unmatched;P34427;;Caenorhabditis elegans
sdc-2;;unmatched;unmatched;unmatched;G5EBL3;;Caenorhabditis elegans
xnd-1;;unmatched;unmatched;unmatched;O45134;;Caenorhabditis elegans
ztf-22;;unmatched;unmatched;unmatched;Q9NAG7;;Caenorhabditis elegans
B0261.1;;unmatched;unmatched;unmatched;O01441;;Caenorhabditis elegans
CELE_K12H6.12;;unmatched;unmatched;unmatched;Q9N5H8;;Caenorhabditis elegans
CELE_Y116A8C.19;;WBGene00013796;unmatched;unmatched;Q9U2V2;;Caenorhabditis elegans
hif-1;;unmatched;unmatched;unmatched;G5EGD2;;Caenorhabditis elegans
tdp-1;;unmatched;unmatched;unmatched;D0VWM8;;Caenorhabditis elegans
CELE_W03F9.2;;unmatched;unmatched;unmatched;H2L0N7;;Caenorhabditis elegans
CELE_ZK185.1;;unmatched;unmatched;unmatched;U4PEA1;;Caenorhabditis elegans
hmg-11;;unmatched;unmatched;unmatched;G5EEL9;;Caenorhabditis elegans
tftc-3;;unmatched;unmatched;unmatched;Q95PV7;;Caenorhabditis elegans
lem-2;;unmatched;unmatched;unmatched;Q9XTB5;;Caenorhabditis elegans
C34F6.9;;unmatched;unmatched;unmatched;O17646;;Caenorhabditis elegans
ikb-1;;unmatched;unmatched;unmatched;G5EFS1;;Caenorhabditis elegans
CELE_T26A5.8;;unmatched;unmatched;unmatched;Q22798;;Caenorhabditis elegans
dao-5;;unmatched;unmatched;unmatched;Q9XVS4;;Caenorhabditis elegans
top-2;;unmatched;unmatched;unmatched;Q23670;;Caenorhabditis elegans
akir-1;;unmatched;unmatched;unmatched;Q966L3;;Caenorhabditis elegans
aly-2;;unmatched;unmatched;unmatched;O62183;;Caenorhabditis elegans
CELE_T07F8.4;;unmatched;unmatched;unmatched;P91437;;Caenorhabditis elegans
npp-13;;unmatched;unmatched;unmatched;Q9BKT9;;Caenorhabditis elegans
F54F2.2/F54F2.3/F54F2.4;;unmatched;unmatched;unmatched;P34447;;Caenorhabditis elegans
somi-1;;unmatched;unmatched;unmatched;Q8I4H1;;Caenorhabditis elegans
ztf-18;;unmatched;unmatched;unmatched;B9ZSG9;;Caenorhabditis elegans
epc-1;;unmatched;unmatched;unmatched;G5EC14;;Caenorhabditis elegans
exp-1;;unmatched;unmatched;unmatched;G5ECJ0;;Caenorhabditis elegans
lin-42;;unmatched;unmatched;unmatched;Q65ZG8;;Caenorhabditis elegans
rec-8;;unmatched;unmatched;unmatched;Q9XUB3;;Caenorhabditis elegans
drap-1;;unmatched;unmatched;unmatched;Q86G95;;Caenorhabditis elegans
CELE_F10B5.3;;unmatched;T131579_2.00;unmatched;Q09534;;Caenorhabditis elegans
tlp-1;;unmatched;unmatched;unmatched;G5EGF8;;Caenorhabditis elegans
CELE_F52B5.7;;unmatched;T131586_2.00;unmatched;Q7YWZ7;;Caenorhabditis elegans
kle-2;;unmatched;unmatched;unmatched;P34341;;Caenorhabditis elegans
dpy-28;;unmatched;unmatched;unmatched;Q9U2M1;;Caenorhabditis elegans
C08G9.2;;unmatched;unmatched;unmatched;O44131;;Caenorhabditis elegans
sup-37;;unmatched;unmatched;unmatched;Q8MNV9;;Caenorhabditis elegans
tofu-4;;unmatched;unmatched;unmatched;O01819;;Caenorhabditis elegans
let-418;;unmatched;unmatched;unmatched;G5EBZ4;;Caenorhabditis elegans
